signal_type,fwhm,alpha,sample,threshold,boot_rep,repeat,success_rate
circle,1,0.1,50,2,1000,500,0.904
circle,1,0.1,100,2,1000,500,0.894
circle,1,0.1,250,2,1000,500,0.908
circle,1,0.1,400,2,1000,500,0.92
circle,1,0.05,50,2,1000,500,0.942
circle,1,0.05,100,2,1000,500,0.958
circle,1,0.05,250,2,1000,500,0.956
circle,1,0.05,400,2,1000,500,0.95
circle,2,0.1,50,2,1000,500,0.908
circle,2,0.1,100,2,1000,500,0.91
circle,2,0.1,250,2,1000,500,0.888
circle,2,0.1,400,2,1000,500,0.898
circle,2,0.05,50,2,1000,500,0.956
circle,2,0.05,100,2,1000,500,0.962
circle,2,0.05,250,2,1000,500,0.95
circle,2,0.05,400,2,1000,500,0.946
circle,3,0.1,50,2,1000,500,0.886
circle,3,0.1,100,2,1000,500,0.93
circle,3,0.1,250,2,1000,500,0.872
circle,3,0.1,400,2,1000,500,0.912
circle,3,0.05,50,2,1000,500,0.934
circle,3,0.05,100,2,1000,500,0.95
circle,3,0.05,250,2,1000,500,0.952
circle,3,0.05,400,2,1000,500,0.924
grad,1,0.1,50,2,1000,500,0.914
grad,1,0.1,100,2,1000,500,0.874
grad,1,0.1,250,2,1000,500,0.826
grad,1,0.1,400,2,1000,500,0.802
grad,1,0.05,50,2,1000,500,0.944
grad,1,0.05,100,2,1000,500,0.922
grad,1,0.05,250,2,1000,500,0.91
grad,1,0.05,400,2,1000,500,0.88
grad,2,0.1,50,2,1000,500,0.938
grad,2,0.1,100,2,1000,500,0.942
grad,2,0.1,250,2,1000,500,0.91
grad,2,0.1,400,2,1000,500,0.892
grad,2,0.05,50,2,1000,500,0.976
grad,2,0.05,100,2,1000,500,0.952
grad,2,0.05,250,2,1000,500,0.956
grad,2,0.05,400,2,1000,500,0.946
grad,3,0.1,50,2,1000,500,0.972
grad,3,0.1,100,2,1000,500,0.942
grad,3,0.1,250,2,1000,500,0.92
grad,3,0.1,400,2,1000,500,0.91
grad,3,0.05,50,2,1000,500,0.984
grad,3,0.05,100,2,1000,500,0.968
grad,3,0.05,250,2,1000,500,0.96
grad,3,0.05,400,2,1000,500,0.946
